"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
2156,6.47673726193753,8.67552843815344,0.0960160026671112,0.0320053342223704,15.12252042007,15.0905150858476,24.3461939891291,683.784460420416,0.719540312839185,0.422446902911468,0.0240040006667778,6.47673726193753,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2157,10.6947116670176,6.17718410762382,11.9459909984998,5.44090681780297,14.9864977496249,9.54559093182197,16.3398514089657,415.820391744047,0.955521045366708,0.704926765235089,0.0120020003333889,10.6947116670176,3.0,0.0,3.0,12.712,12.712,12.712,0.0,0.0,2.0
2158,4.2117761715015,6.52720422687538,0.860143357226204,0.040006667777963,5.00483413902317,4.96482747124521,28.7866914845055,946.673645325395,0.78580260250841,0.523896271124207,0.0240040006667778,4.2117761715015,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2159,3.73788823951046,4.73102673441173,2.5964327387898,0.5400900150025,4.06867811301884,3.52858809801634,18.5102761341789,466.450255935213,0.802421371613605,0.167111552901358,0.276046007667945,3.73788823951046,16.0,0.0,16.0,0.276,0.276,0.276,0.0,0.0,2.0
2160,2.56593293811194,4.38584563794641,1.05217536256043,0.704117352892149,1.49224870811802,0.788131355225871,7.95920782513342,77.2687830887128,0.761243295316125,0.212359893029644,1.00016669444907,2.56593293811194,16.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,2.0
2161,8.00652756061149,5.6987023998884,8.04534089014836,2.40040006667778,12.4420736789465,10.0416736122687,9.75119606848097,189.671996819607,0.931711256967226,0.524818350841525,0.0120020003333889,8.00652756061149,12.0,0.0,12.0,0.012,0.012,0.012,0.0,0.0,2.0
2162,1.92018705735352,3.81366842639906,0.740123353892315,0.484080680113352,1.28021336889482,0.796132688781463,9.66856481682187,115.04332105832,0.716485643383833,0.142193674232549,0.236039339889982,1.92018705735352,0.0,0.0,0.0,0.236,0.236,0.236,0.0,0.0,2.0
2163,5.66507471077027,8.38833476547155,0.0560093348891482,0.0240040006667778,12.8581430238373,12.8341390231705,37.4115711496143,1634.368693764,0.661457860054173,0.55544555562319,0.0240040006667778,5.66507471077027,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2164,5.48974815864888,7.95945231549571,0.960160026671112,0.0320053342223704,10.7977996332722,10.7657942990498,28.5473109612722,916.662329086632,0.751706099778724,0.488889588695257,0.0240040006667778,5.48974815864888,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,0.0
2165,8.72759347056293,7.20629665393752,9.95765960993499,0.944157359559927,14.2903817302884,13.3462243707285,31.9092341416413,1316.73984073575,0.88978819341657,0.673882837174902,0.0240040006667778,8.72759347056293,12.0,0.0,12.0,0.024,0.024,0.024,0.0,0.0,0.0
2166,2.10443365546011,2.26940584754271,1.75629271545258,1.17219536589432,2.62443740623437,1.45224204034006,4.90969995420054,36.209176832845,0.764990675216775,0.0568060111454381,1.87231205200867,2.10443365546011,0.0,0.0,0.0,1.872,1.872,1.872,0.0,0.0,2.0
2167,8.54851220737161,5.58947680296421,7.50925154192365,4.9768294715786,12.5940990165028,7.61726954492415,12.1601780665788,306.156341953322,0.946328941172458,0.628693804968455,0.0240040006667778,8.54851220737161,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,2.0
2168,2.10886098671285,3.99420559035273,0.636106017669612,0.328054675779297,1.85230871811969,1.52425404234039,10.8646402768467,144.640302991111,0.736926269577303,0.149220432611629,0.260043340556759,2.10886098671285,0.0,0.0,0.0,0.26,0.26,0.26,0.0,0.0,2.0
2169,1.92805542029101,4.16881228189315,0.50808468078013,0.256042673778963,1.00816802800467,0.752125354225704,32.9354639037376,1251.65931481861,0.597982605587012,0.237176138280977,0.256042673778963,1.92805542029101,0.0,0.0,0.0,0.256,0.256,0.256,0.0,0.0,2.0
2170,3.4032606118575,5.14079687787521,0.684114019003167,0.488081346891148,2.95649274879147,2.46841140190032,14.025779130859,232.437838319027,0.789403791213878,0.281631883508236,0.504084014002334,3.4032606118575,12.0,0.0,12.0,0.504,0.504,0.504,0.0,0.0,2.0
2171,5.32732859012367,5.87964676695983,2.68044674112352,0.496082680446741,9.66961160193365,9.17352892148691,15.1141798898074,267.201917718778,0.847105542755212,0.449924622955488,0.252042007001167,5.32732859012367,12.0,0.0,12.0,0.252,0.252,0.252,0.0,0.0,2.0
2172,2.28219864721025,4.32021942713101,0.736122687114519,0.468078013002167,1.81630271711952,1.34822470411735,16.8308326438417,371.230200387528,0.726732973626628,0.188411529398841,0.492082013668945,2.28219864721025,16.0,0.0,16.0,0.492,0.492,0.492,0.0,0.0,2.0
2173,3.53570464906424,5.44482403408489,0.636106017669612,0.256042673778963,3.72462077012835,3.46857809634939,28.4744406719036,1016.55785670106,0.767469727411399,0.385618634805616,0.248041340223371,3.53570464906424,12.0,0.0,12.0,0.248,0.248,0.248,0.0,0.0,2.0
2174,4.37966989951474,5.48036022443911,1.65227537922987,0.532088681446908,6.18103017169528,5.64894149024837,10.8873928998229,168.58502871254,0.866587138626144,0.347082190873059,0.548091348558093,4.37966989951474,12.0,0.0,12.0,0.548,0.548,0.548,0.0,0.0,2.0
2175,6.0360442847382,8.51745098426331,0.0880146691115186,0.0240040006667778,13.9543257209535,13.9303217202867,28.9099847202298,932.201169454199,0.705150141698486,0.512264569790404,0.0160026671111852,6.0360442847382,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
2176,6.3909579650139,8.30461801224701,1.1921986997833,0.0760126687781297,13.8983163860643,13.8223037172862,24.0701575447092,723.764098857102,0.824188495208282,0.511641886643732,0.0280046674445741,6.3909579650139,0.0,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.0
2177,8.63773463486252,6.40013878289987,8.05734289048175,2.84447407901317,13.8303050508418,10.9858309718286,27.398500704045,1129.91762168309,0.95588517856757,0.728591877318462,0.0120020003333889,8.63773463486252,16.0,0.0,16.0,0.012,0.012,0.012,0.0,0.0,2.0
2178,3.06253357503368,4.12028056282742,1.79229871645274,0.468078013002167,3.48858143023837,3.02050341723621,14.1091332663059,286.209766861871,0.821602014876749,0.179386102105636,0.280046674445741,3.06253357503368,0.0,0.0,0.0,0.276,0.276,0.276,0.0,0.0,2.0
